,CVE_CLPV,FECHA_ENT,FECHA_VEN,CAN_TOT
98,      6839,2019-09-17 00:00:00,2019-09-17,25075.600000000002
99,      6757,2019-09-17 00:00:00,2019-09-17,112733.70000000001
100,      6211,2019-09-17 00:00:00,2019-09-17,305.52000000000004
101,      6805,2019-09-17 00:00:00,2019-09-17,144.0
102,      5165,2019-09-17 00:00:00,2019-10-17,7700.000000000001
103,      5458,2019-09-17 00:00:00,2019-09-17,252.16000000000003
104,      3926,2019-09-17 00:00:00,2019-10-17,1550.0000000000002
105,      5926,2019-09-17 00:00:00,2019-09-17,595.0200000000001
106,      2740,2019-09-17 00:00:00,2019-09-17,1682.0000000000002
107,      5926,2019-09-17 00:00:00,2019-09-17,1496.46
108,      5926,2019-09-17 00:00:00,2019-09-17,1227.6100000000001
109,      3341,2019-09-17 00:00:00,2019-09-17,226.8272
110,      5926,2019-09-17 00:00:00,2019-09-17,2594.8272
111,      5926,2019-09-10 00:00:00,2019-09-17,227.60000000000002
112,      6369,2019-09-18 00:00:00,2019-09-18,4023.5000000000005
113,      5598,2019-09-18 00:00:00,2019-09-18,3000.0000000000005
114,      1125,2019-09-18 00:00:00,2019-10-03,2697.0
115,      6760,2019-09-18 00:00:00,2019-09-18,1228.5
116,      1125,2019-09-18 00:00:00,2019-10-03,2697.0
117,      5926,2019-09-18 00:00:00,2019-09-18,1215.5400000000002
118,      4029,2019-09-06 00:00:00,2019-09-18,7784.4800000000005
119,        43,2019-09-18 00:00:00,2019-10-18,17230.0
120,       537,2019-09-18 00:00:00,2019-10-03,7096.4237
121,      6841,2019-09-18 00:00:00,2019-09-18,1487.8700000000001
122,      5926,2019-09-18 00:00:00,2019-09-18,912.6484
123,        43,2019-09-18 00:00:00,2019-10-18,37000.0
124,       941,2019-09-18 00:00:00,2019-10-18,2602.5
125,      4802,2019-09-18 00:00:00,2019-09-18,1197.7495000000001
126,      5486,2019-09-18 00:00:00,2019-09-18,1050.0
127,      5668,2019-09-18 00:00:00,2019-09-18,4118.62
128,       417,2019-09-18 00:00:00,2019-10-03,6221.800000000001
129,      4635,2019-09-18 00:00:00,2019-10-18,6194.64
130,      5926,2019-09-19 00:00:00,2019-09-19,5129.784000000001
131,      6054,2019-09-19 00:00:00,2019-09-19,20274.0
132,      6481,2019-09-10 00:00:00,2019-09-19,1486.9
133,      5826,2019-09-19 00:00:00,2019-10-04,385.00000000000006
134,      6834,2019-09-19 00:00:00,2019-09-19,919.46
135,      1965,2019-09-19 00:00:00,2019-10-04,1155.0
136,      6842,2019-09-19 00:00:00,2019-09-19,852.2700000000001
137,      6340,2019-09-19 00:00:00,2019-09-19,3194.6400000000003
138,      6843,2019-09-19 00:00:00,2019-09-19,252.16000000000003
139,      3930,2019-09-10 00:00:00,2019-10-19,48480.00000000001
140,      5068,2019-09-13 00:00:00,2019-11-03,35725.0
141,      5114,2019-09-19 00:00:00,2019-09-19,232.8
142,      5197,2019-09-19 00:00:00,2019-09-19,110.00000000000001
143,      5046,2019-09-19 00:00:00,2019-09-19,252.16000000000003
144,      5739,2019-09-19 00:00:00,2019-11-18,19000.0
145,      5739,2019-09-19 00:00:00,2019-11-18,4410.0
146,      4605,2019-09-19 00:00:00,2019-09-19,3112.9900000000007
147,      6354,2019-09-19 00:00:00,2019-09-19,252.16000000000003
148,      6800,2019-09-19 00:00:00,2019-09-19,252.16000000000003
149,        87,2019-09-19 00:00:00,2019-10-04,249.05
150,       941,2019-09-13 00:00:00,2019-10-19,1940.0000000000002
151,      5926,2019-09-19 00:00:00,2019-09-19,3365.9
152,      6844,2019-09-19 00:00:00,2019-09-19,43103.448200000006
153,      5739,2019-09-19 00:00:00,2019-11-18,19000.0
154,      5926,2019-09-20 00:00:00,2019-09-20,1939.92
155,       728,2019-09-20 00:00:00,2019-11-19,3112.0000000000005
156,      6842,2019-09-20 00:00:00,2019-09-20,568.11
157,      6845,2019-09-20 00:00:00,2019-09-20,568.11
158,      6547,2019-09-25 00:00:00,2019-09-20,841.34
159,       728,2019-09-20 00:00:00,2019-11-19,33499.200000000004
160,      1158,2019-09-20 00:00:00,2019-09-20,420.00000000000006
161,       728,2019-09-20 00:00:00,2019-11-19,33499.200000000004
162,      5968,2019-09-20 00:00:00,2019-10-20,5400.0
163,      3032,2019-09-20 00:00:00,2019-09-20,720.0000000000001
164,      5926,2019-09-20 00:00:00,2019-09-20,777.1
165,      6153,2019-09-20 00:00:00,2019-09-20,193.99
166,      5728,2019-09-05 00:00:00,2019-09-20,1540.65
167,       112,2019-09-20 00:00:00,2019-09-20,2034.0000000000002
168,      1478,2019-09-10 00:00:00,2019-10-20,4679.0
